Index,item,rating
114,Am able to find out things by myself.,5
115,Am able to fit into any situation.,4.666666667
116,Am able to fix electrical-wiring problems.,3.333333333
117,Am able to get other people to act in a certain way.,4
118,Am able to get over it quickly when someone hurts my feelings.,4.333333333
119,Am able to pick myself up when I'm down.,4.666666667
120,Am able to read the minds of others.,4
121,Am able to see how other peoples' emotions can affect their behaviors.,4.333333333
122,"Am able to see the ""big picture.""",5
123,Am able to see the best in a situation.,5
124,Am able to stand up for myself.,4.333333333
125,Am able to understand how other people see problems.,4.666666667
126,Am able to work hard to achieve results that I will only get at a time far in the future.,4.333333333
127,Am able to work hard to solve problems even when it takes a long time.,4.333333333
128,Am afraid of being left alone.,2.666666667
129,Am afraid of heights.,2.333333333
130,Am afraid of large dogs.,3
131,Am afraid of losing control of my anger.,2.333333333
132,Am afraid of many things.,1.666666667
133,Am afraid of more things than others are.,1.666666667
134,Am afraid that I will do the wrong thing.,2.333333333
135,Am afraid that my life will be cut short by illness.,2
136,Am afraid to draw attention to myself.,2
137,Am afraid to reach out for love.,2
138,Am always aware of how I am presenting myself.,4
139,Am always busy with something interesting.,3.666666667
140,Am always busy.,3.333333333
141,Am always in the same mood.,2.666666667
142,Am always joking.,3
143,Am always looking for a rush of excitement.,2
144,Am always on the go.,3.333333333
145,Am always on time.,4.666666667
146,Am always prepared.,5
147,Am always ready to start afresh.,3.666666667
148,Am always worried about something.,1.666666667
149,Am always worried that my partner is going to leave me.,1.333333333
150,Am an energetic person.,4
151,Am an eternal pessimist.,1.666666667
152,Am an extraordinary person.,4.666666667
153,Am an extremely grateful person.,5
154,Am an extremely loyal person.,4.666666667
155,Am an honest person.,4.666666667
156,Am an ordinary person with ordinary skills and abilities.,2.666666667
157,Am an original thinker.,4.333333333
158,Am angry or distressed when my partner pays more attention to someone else.,1.666666667
159,Am annoyed by others' mistakes.,2
160,Am apprehensive about new encounters.,1.666666667
161,"Am approached often by people who want help, advice, or guidance with their problems.",4.333333333
162,Am ashamed of myself.,1.666666667
163,Am asked for advice by friends and family.,4.666666667
164,Am asked for favors by my friends and family.,4
165,Am attached to conventional ways.,2.666666667
166,Am aware of how my feelings are affecting other people.,4.666666667
167,Am aware of my feelings.,4.333333333
168,Am basically a decent person.,4.666666667
169,Am bothered by frequent aches and pains.,2
170,Am calm even in tense situations.,5
171,Am capable of working alone.,4
172,Am careful to avoid making mistakes.,4.333333333
173,Am careful to consider how things I do now will affect future outcomes.,4.666666667
174,Am certain that I am being talked about.,3
175,Am chubby.,2.333333333
176,Am comfortable in unfamiliar situations.,4.333333333
177,Am committed to principles of justice and equality.,5
178,Am concerned about others.,4.333333333
179,"Am considered a ""yes"" person.",1.666666667
180,Am considered attractive by others.,4
181,Am considered by others to be weird.,2
182,Am considered fun to be with.,4.666666667
183,Am considered short.,2
184,Am considered tall.,4
185,Am considered to be a wise person.,4.666666667
186,Am considered to be kind of eccentric.,2.666666667
187,Am considered well-off financially.,4
188,Am constantly reflecting about myself.,4
189,Am content with my life.,4.666666667
190,Am continually losing things.,1.666666667
191,Am convinced my doctor is lying to me.,1
192,Am convinced that I am dying.,1
193,Am convinced that my way is the best way.,2.333333333
194,Am curious about how various kinds of trees differ from each other.,3
195,Am deeply moved by others' misfortunes.,4
196,Am dependent on others for things that I should be able to do myself.,1.333333333
197,Am described as grumpy.,1.666666667
198,Am described by friends and family as a disciplined person.,4.333333333
199,"Am described by others as a good ""team-player.""",4.666666667
200,Am determined to finish a task when I start it.,4.666666667
201,Am devoted to religion.,3.333333333
202,Am different compared to most people.,3.333333333
203,Am eager to soothe hurt feelings.,4.333333333
204,Am easily annoyed.,1.666666667
205,Am easily calmed down by others.,4
206,Am easily confused.,1.666666667
207,Am easily controlled by others in my life.,1
208,Am easily deterred.,1.333333333
209,Am easily discouraged in difficult situations.,1.666666667
210,Am easily discouraged.,1.666666667
211,Am easily disoriented.,1.333333333
212,Am easily distracted when I'm trying to focus my attention.,1.333333333
213,Am easily distracted.,1.666666667
214,Am easily disturbed.,2
215,Am easily excited.,3
216,Am easily frightened.,1.666666667
217,Am easily frustrated.,1.333333333
218,Am easily hurt.,1
219,Am easily impressed.,3.333333333
220,Am easily influenced.,2
221,Am easily intimidated.,2
222,Am easily moved to tears.,3
223,Am easily offended.,1.333333333
224,Am easily overpowered when decisions need to be made.,2.333333333
225,Am easily put out.,2
226,Am easily startled.,2
227,Am easily talked into doing silly things.,2.333333333
228,Am easy to fool.,1.666666667
229,Am easy to persuade.,2
230,Am easy to satisfy.,3.333333333
231,Am embarrassed by praise.,3
232,Am embarrassed to have people see my home.,2.666666667
233,Am emotionally reserved.,3
234,Am entitled to the best.,1.666666667
235,Am exacting in my work.,4
236,Am excited by many different activities.,4.333333333
237,Am excited to inflict pain on others.,1
238,Am faithful to old friends.,4.666666667
239,Am fascinated by how machines work.,3.333333333
240,Am fascinated by numbers.,3.666666667
241,Am filled with doubts about things.,1.666666667
242,Am forceful in relationships with friends and family.,2.333333333
243,Am free of prejudice.,5
244,Am full of ideas.,4
245,Am generally a fearful person.,1.666666667
246,Am generally fearful of bad things that could happen.,2.333333333
247,Am good at analyzing problems.,4.666666667
248,Am good at getting people to do what I want.,2.666666667
249,Am good at helping people work well together.,4.666666667
250,Am good at making excuses for my bad behavior.,2.333333333
251,Am good at making impromptu speeches.,4
252,Am good at making jokes.,4
253,Am good at making people laugh.,4.666666667
254,Am good at many things.,4.666666667
255,Am good at motivating myself to work hard.,4.666666667
256,Am good at reading people's intentions from their faces.,4
257,Am good at saving money.,4
258,Am good at seducing others.,2.333333333
259,Am good at sensing what others are feeling.,4.333333333
260,Am good at setting goals for the future.,4.666666667
261,Am good at taking advice.,5
262,Am good at thinking of solutions that no one else thinks of.,4.666666667
263,Am good at understanding others' feelings.,4.666666667
264,Am good at using people's weak points to my advantage.,2
265,Am guided by my intuitions.,3
266,Am guided by my moods.,2
267,Am guided by superstitions.,1.333333333
268,Am happy doing mindless work.,2.333333333
269,Am happy with my life.,4.666666667
270,Am hard to convince.,2.333333333
271,Am hard to get to know.,1.666666667
272,Am hard to reason with.,1
273,Am hard to satisfy.,1.666666667
274,Am hard to understand.,1.333333333
275,Am humble about the good things that have happened to me.,4.666666667
276,Am in awe of simple things in life that others might take for granted.,4.333333333
277,Am in good physical condition.,4.333333333
278,Am inadequate.,1.666666667
279,Am inclined to forgive others.,4
280,Am indifferent to the feelings of others.,1.333333333
281,Am inexplicably happy some of the time.,3.666666667
282,Am inflexible when I think I'm right.,2
283,Am intentionally different.,2.333333333
284,Am interested in many things.,4.333333333
285,Am interested in money to the point of being able to do risky jobs.,2.333333333
286,Am interested in my personal growth.,4.333333333
287,Am interested in people.,4
288,Am interested in science.,3.666666667
289,Am just an ordinary person.,3
290,Am known as a controlling person.,1.666666667
291,Am known to be a very nervous or tense person.,2
292,Am less capable than most people.,1.666666667
293,Am less likely than most people to lock things up.,2.333333333
294,Am likely to show off if I get the chance.,2
295,Am looking for a job.,2.666666667
296,Am looking forward to things that are coming in the future.,3.666666667
297,Am mainly interested in money.,2.333333333
298,Am more capable than most others.,4
299,Am more likely to be fast and careless than to be slow and plodding.,2.333333333
300,Am more of a loner than most people.,2.666666667
301,Am motivated strongly to do some things by the good prospect of obtaining money.,2.333333333
302,"Am moved to action by the possibility of social advancement, even if this involves not playing fair.",2.333333333
303,Am nervous or tense most of the time.,2
304,Am never at a loss for words.,3.666666667
305,Am never bored.,4
306,Am never too busy to help a friend.,4.333333333
307,Am nice to people I should be angry at.,3.666666667
308,Am nice to store clerks.,4.666666667
309,Am no danger to society.,5
310,Am no more special than anyone else.,3.333333333
311,Am not a caring person.,1.666666667
312,Am not a dependable person.,1.333333333
313,Am not a detail-oriented person.,1.666666667
314,Am not a joyful person.,1.666666667
315,Am not a sympathetic person.,1.333333333
316,Am not a very enthusiastic person.,2
317,Am not affected by either praise or criticism.,3
318,Am not afraid of providing criticism.,4
319,Am not all that curious about the world.,2
320,Am not always honest with myself.,2
321,Am not always what I appear to be.,2.666666667
322,Am not an empathic person.,1.333333333
323,Am not an extraordinary person.,2.666666667
324,Am not as strict as I should be.,2.333333333
325,Am not as tactful as I should be.,2.333333333
326,Am not bothered by crazy thoughts.,3.666666667
327,Am not bothered by difficult social situations.,4.666666667
328,Am not bothered by disorder.,4.333333333
329,Am not bothered by messy people.,4
330,Am not concerned with making a good impression.,3
331,Am not confident that my way of doing things will work out for the best.,2.666666667
332,Am not considered attractive by others.,2
333,Am not considered to have new and different ideas.,2
334,Am not disturbed by events.,3.666666667
335,Am not easily affected by my emotions.,4.666666667
336,Am not easily amused.,2.333333333
337,Am not easily annoyed.,4.333333333
338,Am not easily bothered by things.,4.666666667
339,Am not easily distracted.,4.333333333
340,Am not easily disturbed by events.,4
341,Am not easily fooled by others.,4
342,Am not easily frustrated.,4.666666667
343,Am not easily made to feel jealous.,4.333333333
344,Am not easily stirred.,4.333333333
345,Am not embarrassed easily.,3.666666667
346,Am not fun to be with.,1.333333333
347,Am not good at deceiving other people.,3.666666667
348,Am not good at describing the emotions I feel throughout the day.,2.333333333
349,Am not good at figuring out what really matters.,1.666666667
350,Am not good at getting people to like me.,1.666666667
351,Am not good at hiding my intentions from others.,2.666666667
352,Am not good at judging people.,2
353,Am not good at knowing human nature.,2
354,Am not good at planning group activities.,2.333333333
355,Am not good at sports.,2.333333333
356,Am not good at taking charge of a group.,2.333333333
357,Am not good at telling jokes.,2.666666667
358,Am not good at working with a group.,1.333333333
359,Am not handicapped in any way.,4
360,Am not happy until all the details are taken care of.,4
361,Am not highly motivated to succeed.,1.666666667
362,Am not in the mood for anything.,1.666666667
363,Am not in touch with my feelings.,1.666666667
364,Am not interested in abstract ideas.,3
365,Am not interested in other people's problems.,2
366,Am not interested in romance.,2.666666667
367,Am not interested in speculating about things.,3
368,Am not interested in theoretical discussions.,2.666666667
369,Am not known for my sense of humor.,2.333333333
370,Am not likely to notice small visual details.,2.666666667
371,Am not much of a flirt.,3
372,Am not picky about food.,3.666666667
373,Am not really interested in others.,2.333333333
374,Am not sure where my life is going.,2
375,Am not very good at getting things done.,1.666666667
376,Am not willing to let things rest.,2
377,Am odd.,2
378,Am often accused of being narrow-minded.,1.333333333
379,Am often afraid of new or unexpected situations.,2.333333333
380,Am often afraid.,1.666666667
381,Am often asked by friends and family to help resolve fights.,4
382,Am often aware how the color and lighting of a room affects my mood.,4
383,Am often being lied to.,2
384,Am often bored while working.,2.333333333
385,Am often bored.,1.666666667
386,Am often consulted by my friends about their problems.,4
387,Am often disappointed by people.,1.666666667
388,Am often down in the dumps.,1.666666667
389,Am often exploited by others.,1.333333333
390,Am often fidgety.,2.666666667
391,Am often in a bad mood.,1.666666667
392,Am often just used by people instead of being treated as a person.,1.333333333
393,Am often late to work.,1.333333333
394,Am often late.,1.333333333
395,Am often mistaken for being younger than my age.,2.333333333
396,Am often out for revenge.,1.333333333
397,Am often puzzled by sensations in my body.,3
398,Am often rushed.,2
399,Am often sensitive to the smoothness or roughness of objects that I touch.,3.333333333
400,Am often so assertive or sociable that I surprise myself.,3.666666667
401,Am often so restless that it is impossible for me to sit still.,2
402,Am often the last to understand the point of a joke.,2
403,Am often told by others that I understand them.,4.333333333
404,Am often too truthful about others' flaws.,2.333333333
405,Am often worried by things that I said or did.,2
406,Am on good terms with nearly everyone.,4.333333333
407,Am one of the most curious and inquiring persons I know.,3.666666667
408,Am only kind to others if they have been kind to me.,2
409,Am open about my feelings.,4.333333333
410,Am open about myself to others.,4.333333333
411,Am open to arguments.,4.333333333
412,Am open to change.,4.666666667
413,Am open to ideas.,4.666666667
414,Am open to new experiences.,4.333333333
415,Am out for my own personal gain.,2.333333333
416,Am paralyzed by a fear of being alone.,1.333333333
417,Am paralyzed by a fear of rejection.,1.666666667
418,Am passionate about anything I'm involved in.,4.333333333
419,Am passionate about bettering the world's condition.,4.666666667
420,Am passionate about causes.,4
421,Am patient with people who annoy me.,4.333333333
422,Am physically out of shape.,1.666666667
423,Am plain in appearance.,3
424,Am polite to strangers.,4.666666667
425,Am poorly informed.,1.666666667
426,Am preoccupied with myself.,2
427,Am pretty trusting of others' motives.,4
428,Am prone to addiction.,1.333333333
429,Am prone to altered states of consciousness.,1.666666667
430,Am prone to bouts of rage.,1.333333333
431,Am prone to complain about my health.,2
432,Am proud that I am an ordinary person.,4
433,Am put off by people who touch or hug when speaking to me.,3
434,Am put off by unexpected events.,2.666666667
435,Am quick to admit making a mistake.,4
436,Am quick to blame others when I get into trouble.,1.333333333
437,Am quick to correct others.,2.666666667
438,Am quick to judge others.,2
439,Am quick to quit when the going gets tough.,1.666666667
440,Am quick to think I'm about to be dumped or rejected.,1.666666667
441,Am quick to think others don't like me.,1
442,Am quick to understand things.,5
443,Am quiet around strangers.,2.666666667
444,Am quite relaxed in front of strangers.,4
445,Am rarely a patient person.,1.333333333
446,Am rarely aware of how an artist might be using light and color to convey mood when I look at paintings or pictures.,2.666666667
447,Am rarely aware of the natural beauty in the environment.,2.666666667
448,Am rarely aware of the texture of things that I hold.,3
449,Am rarely consulted for advice by others.,2.333333333
450,Am rarely scared by loud noises.,3
451,Am ready for a fight when someone tries to take advantage of me.,3.333333333
452,Am ready to act on the spot.,4
453,Am ready to do battle for a cause.,4.333333333
454,Am ready to hit someone when I get angry.,1
455,Am relaxed most of the time.,4.333333333
456,Am resigned to my fate.,2
457,Am rigid in the way I want things organized.,3.333333333
458,Am sad most of the time.,1.333333333
459,Am satisfied with my life.,4.666666667
460,Am secure in my relationships.,4.666666667
461,Am seldom aware of the sounds of birds in the neighborhood.,2.666666667
462,Am seldom bothered by the apparent suffering of strangers.,2
463,Am seldom concerned about the possibility of failing when trying something new.,4
464,Am self-destructive.,1
465,Am sensitive to the needs of others.,4.333333333
466,Am skilled in handling social situations.,5
467,Am slow to take the blame.,1.666666667
468,Am sluggish much of the time.,1.666666667
469,Am so good at controlling others that it sometimes scares me.,2
470,"Am sometimes full of thoughts, ideas, and images in my mind.",3.333333333
471,Am sometimes so preoccupied with my own thoughts I don't realize others are trying to speak to me.,2
472,Am sometimes sure that other people can tell what I am thinking.,3
473,Am strongly influenced by the good moods of others.,3.666666667
474,Am sure of my ground.,4.333333333
475,Am swayed by my emotions.,2
476,Am taken advantage of by others.,1.666666667
477,Am thankful for the people who helped me during my childhood.,5
478,Am the first to act.,4
479,Am the last to laugh at a joke.,2.333333333
480,Am the life of the party.,4
481,Am the most important person in someone else's life.,4
482,Am thrilled when I learn something new.,5
483,Am told by friends and family that I have good ideas for solving problems.,4.666666667
484,Am told by friends that they do not really know who I am.,1.333333333
485,Am told by my friends that I am a hard worker.,4.333333333
486,Am told by people that I am easy to get to know.,4.333333333
487,Am told that I am a strong but fair leader.,5
488,Am told that I am down to earth.,4.333333333
489,Am told that I am too blunt.,1.666666667
490,Am told that things I say are not polite.,1.666666667
491,Am too afraid to do much of anything.,1.666666667
492,Am totally consumed by one or more interests or hobbies.,3.333333333
493,Am true to my own values.,5
494,Am true to myself in all circumstances.,5
495,Am trusted by other people.,4.666666667
496,Am trusted to keep secrets.,4.666666667
497,Am unable to deal with the problems in my work.,1.333333333
498,Am unable to do some of the things I would like to do because of my health.,1.666666667
499,Am unable to do things properly.,1.666666667
500,Am unable to speak up for myself.,1
501,Am unaffected by other people's happiness.,2.333333333
502,Am unaffected by the suffering of others.,1.333333333
503,Am unaware of what's happening.,1.333333333
504,Am uncomfortable touching other people in intimate situations.,2.333333333
505,Am under constant pressure.,2
506,Am uniquely qualified to make important contributions.,4.333333333
507,Am unpredictable--people never know what I am going to say.,1.666666667
508,"Am unsure about questions concerning politics, religion, or morality.",2.333333333
509,Am untouched by other people's feelings.,1.666666667
510,Am unwilling to accept apologies.,1.666666667
511,Am unwilling to change appointments.,2
512,Am upset by the misfortunes of strangers.,4.333333333
513,Am usually a patient person.,4.333333333
514,Am usually able to forgive people when they make me angry.,4.333333333
515,Am usually active and full of energy.,4.666666667
516,"Am usually aware of the emotions that are portrayed in various types of art (for example, painting, photography, music, dance).",4
517,Am usually aware of the way that I'm feeling.,4.666666667
518,Am usually convinced that my friends and romantic partners will betray me.,1
519,"Am usually in an average sort of mood, not too high and not too low.",3.333333333
520,Am usually pretty good at keeping track of several things that are happening around me.,4.333333333
521,Am usually right.,4
522,Am usually skeptical about the future.,1.666666667
523,Am usually unaware of how the setting is used to convey the mood of the characters in movies.,1.666666667
524,Am valued by my friends for my good judgment.,4.666666667
525,Am valued by others for my objectivity.,5
526,Am very aware of my surroundings.,4.333333333
527,Am very independent.,4.333333333
528,Am very insecure in my relationships.,1
529,Am very pleased with myself.,4
530,Am very sensitive and easily hurt.,2
531,Am very shy in social situations.,2.333333333
532,Am wary of others.,2.333333333
533,Am way too detail-oriented.,2
534,Am well-informed.,4
535,Am who I am because of my faith.,3.666666667
536,Am willing to admit it when I make a mistake.,5
537,Am willing to bend the truth if it will benefit me.,2
538,Am willing to cheat in a game.,1.666666667
539,Am willing to explain things twice.,4.333333333
540,Am willing to make compromises.,4
541,Am willing to make personal sacrifices in order to help people I care about.,4.666666667
542,Am willing to take a stand.,4
543,Am willing to take risks to establish a relationship.,4
544,Am willing to take risks.,3.666666667
545,Am willing to talk about myself.,3.666666667
546,Am willing to try again and again when I fail at something.,4.666666667
547,Am willing to try anything once.,4.333333333
548,Am without talent.,2
549,Am worthless.,1
550,Am worthy of special recognition.,4
551,Amuse my friends.,4
552,Amuse myself easily.,4
553,Anticipate the needs of others.,4.666666667
554,Apologize a lot.,2.333333333
555,Appreciate all forms of art.,4
556,Appreciate good manners.,4.333333333
557,Appreciate people who wait on me.,4.333333333
558,Appreciate the viewpoints of others.,4.666666667
559,Approach others in a positive manner.,5
560,Arrive on time.,4.666666667
561,"As a child, did a lot of things to get people's approval.",3
562,Ask for lots of advice from others.,3.333333333
563,Ask questions that nobody else does.,4
564,Ask too many questions.,2.333333333
565,Assume that most people are in it only for themselves.,2
566,Assume that most people lie or cheat to get ahead.,2
567,Assume that most people will lie to get what they want.,1.333333333
568,Attract attention from the opposite sex.,4
569,Automatically take charge.,4
570,Avoid activities that are physically dangerous.,3.333333333
571,Avoid appearing superior to others.,4
572,Avoid being a bother to anyone.,3.666666667
573,Avoid calling attention to my weaknesses.,2.333333333
574,Avoid company.,2
575,Avoid contacts with others.,2.333333333
576,Avoid crowds.,2.666666667
577,Avoid dangerous situations.,3.666666667
578,Avoid dealing with awkward situation.,3
579,Avoid dealing with uncomfortable emotions.,3
580,Avoid demonstrating my skills for fear of being embarrassed.,1.333333333
581,Avoid difficult reading material.,1.666666667
582,Avoid doing things behind another person's back.,4
583,Avoid eye contact.,2
584,Avoid going to unknown places.,2.333333333
585,Avoid imposing my will on others.,3.666666667
586,Avoid interfering in the lives of others.,4.333333333
587,Avoid mistakes.,3
588,Avoid philosophical discussions.,2.333333333
589,Avoid responsibilities.,1.333333333
590,Avoid romantic intimacy at all costs.,2
591,Avoid small talk.,2.666666667
592,Avoid the things I fear at all costs.,2.333333333
593,Avoid throwing things away for fear that I might need them later.,2.666666667
594,Awaken with a sense of excitement about the day's possibilities.,4
595,Back out at the last moment.,1.666666667
596,Barge in on conversations.,2
597,"Base my goals in life on inspiration, rather than logic.",2.666666667
598,Become aggressive when I feel hurt.,2
599,Become angry when I am not invited to a social event.,2
600,Become anxious in new situations.,2.333333333
601,Become easily frightened.,1.666666667
602,Become emotional for no apparent reason.,1.666666667
603,Become frustrated and angry with people when they don't live up to my expectations.,1.333333333
604,Become intrusive in relationships.,1.333333333
605,Become overwhelmed by events.,2
606,Become restless if I'm not accomplishing something.,3
607,Begin to answer before the other person finishes the question.,1.666666667
608,Begin to panic when there is danger.,2
609,Behave as if my work is more important than anything else.,2.333333333
610,Behave as if others are just as important as me.,4.333333333
611,Behave in a way that is acceptable to society.,4.333333333
612,Behave in unusual and strange ways.,2
613,Behave properly.,5
614,"Believe I have ""ESP,"" or extrasensory perception.",1.333333333
615,Believe I have supernatural powers.,1
616,Believe in a life after death.,2.333333333
617,Believe in a logical answer for everything.,3.666666667
618,Believe in a supernatural source of peace and love.,3
619,Believe in a universal power or God.,3.333333333
620,Believe in an eye for an eye.,2
621,Believe in eating healthily.,4.333333333
622,Believe in equality between all races.,5
623,Believe in God.,3
624,Believe in human goodness.,4.333333333
625,Believe in life after death.,3
626,Believe in one true religion.,2.333333333
627,Believe in psychic forces and fortune telling.,2
628,Believe in sexual modesty.,2.666666667
629,Believe in the goodness of human nature.,4.333333333
630,Believe in the importance of art.,4
631,Believe in the importance of tradition.,4
632,Believe in the power of astrology to predict the future.,1.666666667
633,Believe in the power of fate.,2.666666667
634,Believe in the power of tarot cards to predict the future.,1.333333333
635,Believe in things that have no scientific explanation.,2.333333333
636,Believe in universal harmony.,3.333333333
637,Believe it is always better to be safe than sorry.,4
638,Believe only in myself.,2
639,Believe strongly that the world would be a much better place if I had my way.,1.666666667
640,Believe that all events can be explained scientifically.,3.666666667
641,Believe that appearances are important.,3.666666667
642,Believe that art is very important.,3.666666667
643,Believe that both feelings and thinking are important in making decisions and solving problems.,4.666666667
644,Believe that by working hard a person can achieve anything.,4
645,Believe that cheating is ok if you get away with it.,1.333333333
646,Believe that cheating is wrong because it is unfair to others.,4.333333333
647,Believe that children need firm discipline.,3.333333333
648,Believe that criminals should receive help rather than punishment.,4.333333333
649,Believe that crying helps me feel better.,4
650,Believe that each person has a purpose in life.,4
651,Believe that emotions give direction to life.,3.333333333
652,Believe that events in my life are determined only by me.,3
653,Believe that everyone should have a say.,3.666666667
654,Believe that everyone's rights are equally important.,5
655,Believe that everything will work out in the end.,4
656,Believe that giving is more important than receiving.,4.333333333
657,Believe that God / a Higher Power acts upon our lives.,3
658,Believe that good will always beat evil.,4.333333333
659,Believe that honesty is the basis for trust.,4.666666667
660,Believe that human nature is essentially bad.,1.666666667
661,Believe that I am always right.,1.666666667
662,Believe that I am better than others.,1.666666667
663,Believe that I am important.,2.666666667
664,Believe that I can heal others by sending them thoughts of positive energy.,2
665,Believe that I can work hard to achieve a positive future.,4.333333333
666,Believe that I have a serious disease.,1.666666667
667,"Believe that I know more than most supposed ""experts.""",1.333333333
668,Believe that important decisions should be based on logical reasoning.,4.666666667
669,Believe that it is best to forgive and forget.,4
670,Believe that it is more important to be myself than to be popular.,4
671,Believe that it's a dog-eat-dog world.,1.666666667
672,Believe that it's best not to let other people get to know you too well.,2
673,Believe that it's dangerous to show your real feelings.,1.666666667
674,Believe that kids need tough love.,2
675,Believe that laws should be strictly enforced.,3.666666667
676,Believe that leaders should let everyone have a say in what the group does.,4
677,Believe that life is more of a playground than a battlefield.,3.666666667
678,Believe that medical tests are often inaccurate.,2
679,Believe that most people dislike helping other people.,2
680,Believe that most people have ulterior motives when doing good deeds.,2
681,Believe that most people make friends only because they expect friends to be useful.,2
682,Believe that most people only care about themselves.,1.666666667
683,Believe that most people stay friends only as long as it is to their advantage.,1.333333333
684,Believe that most people tell the truth.,3.666666667
685,Believe that most people would betray me if I let them.,1.666666667
686,Believe that most people would lie to get ahead.,1.666666667
687,Believe that most questions have one right answer.,2
688,Believe that my friends will eventually drop me in favor of smarter and more interesting friends.,1.333333333
689,Believe that my life is much more of a gift than a problem.,4.666666667
690,Believe that my success depends on ability rather than luck.,4
691,Believe that no one deserves to be discriminated against because of the color of their skin.,5
692,Believe that one needs to show their talents and abilities in order to get opportunities and make progress.,4
693,Believe that one of the most important achievements in life includes acquiring material possessions.,2
694,Believe that one race of people is better than others.,1
695,Believe that others are drawn to me because I am humble.,4
696,Believe that others have good intentions.,4
697,Believe that our human nature brings us together to work for common goals.,4.666666667
698,Believe that parents coddle their children too much.,2.666666667
699,Believe that people are basically honest and good.,4
